Id,food_name,Price,Image,tag,calorie,protein,lipid,sugar,dietary_fiber,table_salt
1,焼鮭和風幕の内,689,"https://www.lawson.co.jp/recommend/original/detail/img/l689525.png","お弁当,ローソン",524,20.9,16.2,71.7,4.1,3.53
2,おてがるのり弁(もち麦入りご飯),322,"https://www.lawson.co.jp/recommend/original/detail/img/l696754.png","お弁当,ローソン",430,14.3,15.2,52.4,13.4,1.92
3,おてがる鶏そぼろご飯(もち麦入りご飯),322,"https://www.lawson.co.jp/recommend/original/detail/img/l696755.png","お弁当,ローソン",323,14.5,6.2,46.8,11.0,1.98
4,イチオシ！ミックス弁当,497,"https://www.lawson.co.jp/recommend/original/detail/img/l689523.png","お弁当,ローソン",790,25.7,32.1,96.3,6.3,3.29
5,おてがるチャーシューご飯(もち麦入り),374,"https://www.lawson.co.jp/recommend/original/detail/img/l689524.png","お弁当,ローソン",374,14.8,10.5,49.5,10.9,3.5
6,盛りすぎ！炒飯＆焼そば,497,"https://www.lawson.co.jp/recommend/original/detail/img/l720470.png","チルド弁当,ローソン",1266,35.7,49.8,163.4,10.8,10.44
7,これがのり弁当,549,"https://www.lawson.co.jp/recommend/original/detail/img/l696792.png","チルド弁当,ローソン",807,28.0,33.9,94.1,6.7,3.83
8,これがハンバーグ弁当,646,"https://www.lawson.co.jp/recommend/original/detail/img/l696791.png","チルド弁当,ローソン",763,31.5,25.5,98.5,6.5,4.33
9,これがチキン南蛮弁当,917,"https://www.lawson.co.jp/recommend/original/detail/img/l696795.png","チルド弁当,ローソン",32.6,38.5,38.5,108.7,1.8,4.59
10,これが鶏竜田揚げ弁当,646,"https://www.lawson.co.jp/recommend/original/detail/img/l696790.png","チルド弁当,ローソン",833,35.4,33.4,94.7,5.8,5.81
11,これが厚切り豚焼肉弁当,689,"https://www.lawson.co.jp/recommend/original/detail/img/l696793.png","チルド弁当,ローソン",679,31.3,21.5,88.7,2.3,3.21
12,これが豚生姜焼弁当,646,"https://www.lawson.co.jp/recommend/original/detail/img/l696789.png","チルド弁当,ローソン",747,26.1,28.6,95.5,2.0,3.3
13,牛すき焼き弁当,689,"https://www.lawson.co.jp/recommend/original/detail/img/l696794.png","チルド弁当,ローソン",665,21.2,23.6,88.8,6.3,3.35
14,グリル満天星お墨付き オムライス,689,"https://www.lawson.co.jp/recommend/original/detail/img/l689505.png","チルド弁当,ローソン",638,17.5,28.4,76.6,2.6,4.15
15,欧風ビーフカレー,646,"https://www.lawson.co.jp/recommend/original/detail/img/l689520.png","チルド弁当,ローソン",570,14.8,17.5,85.9,4.9,3.18
16,たんぱく質が摂れる照焼チキン丼,646,"https://www.lawson.co.jp/recommend/original/detail/img/l696761.png","チルド弁当,ローソン",633,50.6,25.9,44.0,10.8,2.97
17,四川風麻婆丼,497,"https://www.lawson.co.jp/recommend/original/detail/img/l696780.png","チルド弁当,ローソン",497,503,16.4,71.3,1.4,2.39
18,おにぎり寿司 焼さばちらし寿司,160,"https://www.lawson.co.jp/recommend/original/detail/img/l720068.png","お寿司,ローソン",170,5.8,2.2,31.2,0.9,1.74
19,手巻寿司 ねぎとろ,192,"https://www.lawson.co.jp/recommend/original/detail/img/l680761.png","お寿司,ローソン",178,5.3,2.8,32.5,1.0,1.56
20,手巻寿司 納豆,160,"https://www.lawson.co.jp/recommend/original/detail/img/l680956.png","お寿司,ローソン",176,5.8,1.8,33.2,1.8,1.43
21,手巻寿司 海老マヨ,192,"https://www.lawson.co.jp/recommend/original/detail/img/l697428.png","お寿司,ローソン",184,4.3,5.0,30.2,0.5,1.68
22,おにぎり寿司 海老寿司,225,"https://www.lawson.co.jp/recommend/original/detail/img/l720066.png","お寿司,ローソン",186,4.8,0.9,39.2,0.9,2.04
23,おいなりさん わさび,171,"https://www.lawson.co.jp/recommend/original/detail/img/l680769.png","お寿司,ローソン",201,5.5,5.9,31,0.9,1.31
24,いなり 3個入,235,"https://www.lawson.co.jp/recommend/original/detail/img/l697431.png","お寿司,ローソン",285,10.6,8.3,41.1,1.5,1.86
25,助六寿司,451,"https://www.lawson.co.jp/recommend/original/detail/img/l680789.png","お寿司,ローソン",547,17.2,12.2,90.0,4.1,3.93
26,たっぷりツナとカニカマのサラダ巻,365,"https://www.lawson.co.jp/recommend/original/detail/img/l697430.png","お寿司,ローソン",444,10.8,12.0,71.9,2.5,3.73
27,細巻納豆 12巻,311,"https://www.lawson.co.jp/recommend/original/detail/img/l680998.png","お寿司,ローソン",342,11.5,4.2,62.6,4.0,2.7
28,照り焼さば寿司〜九州産さば使用〜,451,"https://www.lawson.co.jp/recommend/original/detail/img/l697439.png","お寿司,ローソン",344,19.5,8.9,45.3,2.5,3.49
